,species
0,[OH][CH]([OH])[C](=[O])[O-]
1,[OH-]
2,[O-][C](=[O])[O-]
3,[C]([O-])=[O]
4,[O][O]
5,[O-][C](=[O])[OH]
6,[O]=[CH][C](=[O])[OH]
7,[O][OH]
8,[OH3+]
9,[OH][C]([OH])[C](=[O])[OH]
10,[O-][C](=[O])[O]
11,[OH][C](=[O])[C](=[O])[OH]
12,[CH]([O-])=[O]
13,[OH]
14,[OH][CH]([OH])[C](=[O])[OH]
15,[OH][C](=[O])[C](=[O])[O-]
16,[OH][CH]([OH])[CH]([O][O])[OH]
17,[OH][CH]([OH])[CH]=[O]
18,[O-][C](=[O])[C](=[O])[O-]
19,[O]=[CH][C](=[O])[O-]
20,[OH][CH]([OH])[CH]([O])[OH]
21,[O][O-]
22,[O]=[C]=[O]
23,[OH2]
24,[CH]([OH])=[O]
25,[OH][C]([OH])[C](=[O])[O-]
26,[OH][CH]([OH])[CH]([OH])[OH]
27,[OH][OH]
28,[OH][CH]([OH])[C]([OH])[OH]
29,[CH]([OH])[OH]
30,[C]([OH])=[O]
